"product_id","product_name","is_allergic","resistant"
480,"Herbal Tea Calm Premium","Yes","Yes"
490,"Black Tea Classic Premium #15","Yes","Yes"
492,"Arabica Coffee Beans Premium","Yes","Yes"
493,"Green Tea Premium #18","Yes","Yes"
495,"Black Tea Classic Small Pack","Yes","Yes"
497,"Green Tea Family Pack #22","Yes","Yes"
499,"Ground Coffee Medium Roast","Yes","Yes"
3,"Blueberries Family Pack","Yes","Yes"
6,"White Grapes","Yes","Yes"
10,"Raspberries Family Pack #10","Yes","Yes"
19,"Bananas Premium #19","Yes","Yes"
21,"Red Apples Classic","Yes","Yes"
22,"Bananas Classic","Yes","Yes"
26,"Raspberries Family Pack #26","Yes","Yes"
30,"Plums Small Pack","Yes","Yes"
36,"Kiwi Family Pack #36","Yes","Yes"
37,"Red Apples Classic #37","Yes","Yes"
42,"Red Apples Small Pack","Yes","Yes"
43,"Mandarins #43","Yes","Yes"
